"","ID","RestPct","MovingPct","FeedingPct","AvgNumNN","AvgDistNN","RivDist","AnthDist","nObs"
"109","HB1257",0,18.75,56.25,NA,NA,178.34,53.52,16
"110","HB1258",62.5,12.5,0,2.41666666666667,0.541666666666667,183.37,56.02,16
"111","HB1259",37.5,12.5,25,0.666666666666667,5.16666666666667,183.37,56.02,16
"112","HB1260",87.5,0,6.25,0.266666666666667,9.96666666666667,204.46,54.08,16
"113","HB1261",100,0,0,2.3125,2,111.76,54.38,16
"114","HB1262",87.5,0,12.5,1.0625,3.3125,128.8,38.35,16
"115","HB1263",43.75,12.5,18.75,0.75,4.41666666666667,128.8,38.35,16
"116","HB1264",81.25,0,18.75,0.75,7.8,54.58,41.44,16
"117","HB1265",62.5,12.5,0,0.583333333333333,7.16666666666667,36.17,66.4,16
"118","HB1266",18.75,0,81.25,NA,NA,179.13,16.37,16
"119","HB1268",75,0,25,0.375,5.5,26.93,129.6,16
"120","HB1269",100,0,0,1,0,23.19,126.1,16
"121","HB1270",100,0,0,1,3,30.97,133.96,16
"122","HB1271",100,0,0,1.0625,1,30.02,133.16,16
"123","HB1272",100,0,0,1.4375,0.90625,36.58,139.34,16
"124","HB1273",43.75,0,56.25,1.4375,3,40.4,143.22,16
"125","HB1274",56.25,0,25,4.53846153846154,1.5,43.77,147.09,16
"126","HB1275",43.75,0,50,0,13,92.22,105.88,16
"127","HB1276",100,0,0,4.5,3.4375,129.11,82.08,16
"128","HB1277",100,0,0,5,0.5,126.49,81.17,16
"129","HB1278",93.75,0,0,5.3125,0.9375,126.17,83.36,16
"130","HB1279",25,0,37.5,1.3,1.55,126.05,85.63,16
"131","HB1280",0,0,68.75,2.09090909090909,2.72727272727273,125.18,82.6,16
"132","HB1281",93.75,6.25,0,0.125,11.5,116.8,91.79,16
"133","HB1282",43.75,12.5,6.25,0.5,5.8,124.96,85.24,16
"134","HB1283",12.5,25,62.5,1.5,2.34375,159.85,10.49,16
"135","HB1284",62.5,12.5,25,1.125,3,159.85,10.49,16
"136","HB1285",100,0,0,0.0625,8.0625,170.14,27.26,16
"137","HB1286",37.5,37.5,18.75,0.4,7.73333333333333,124.74,43.78,16
"138","HB1287",75,0,0,3.75,1.29166666666667,124.74,43.78,16
"139","HB1288",87.5,6.25,0,3.26666666666667,0.366666666666667,116.04,54.2,16
"140","HB1289",81.25,12.5,0,2.13333333333333,5.26666666666667,107.24,59.98,16
"141","HB1290",100,0,0,4.9375,1,138.02,29.85,16
"142","HB1291",100,0,0,5,0.5625,136.55,28.88,16
"143","HB1292",37.5,6.25,18.75,1.2,4.8,142.58,26.7,16
"144","HB1293",43.75,25,0,0,12.5833333333333,216.52,58.18,16
"145","HB1294",37.5,6.25,18.75,0,11.5,220.19,61.65,16
"146","HB1295",62.5,0,37.5,0,13,64.97,165.25,16
"147","HB1296",100,0,0,1,5,65.03,165.11,16
"148","HB1297",68.75,0,0,1,5,65.37,165.19,16
"149","HB1298",100,0,0,1.0625,1,66.43,160.75,16
"150","HB1299",100,0,0,1,1,70.52,165.13,16
"151","HB1300",75,6.25,0,2.69230769230769,2.46153846153846,117.91,91.75,16
"152","HB1301",100,0,0,0.25,10.3125,121.99,88.89,16
"153","HB1302",31.25,6.25,37.5,1.41666666666667,5.54166666666667,88.07,111.47,16
"154","HB1303",93.75,0,0,0.266666666666667,11.6,87.74,111.49,16
"155","HB1304",100,0,0,1,2,87.76,111.15,16
"156","HB1305",62.5,12.5,0,1,2,87.8,111.13,16
"157","HB1306",25,12.5,62.5,1.9375,4.0625,127.28,38.62,16
"158","HB1307",50,25,0,NA,2.41666666666667,127.28,38.62,16
"159","HB1308",100,0,0,0,NA,33.26,135.8,16
"160","HB1309",100,0,0,1,0.09375,127.89,85.3,16
